"151673_Layer1" "151673_Layer2" "151673_Layer3" "151673_Layer4" "151673_Layer5" "151673_Layer6" "151673_WM"
"ENSG00000064393" 6.91906442592778 6.77101528801901 6.65686262094989 6.84619427726242 7.03457932729981 7.96355628171313 9.38551720190034
"ENSG00000107331" 7.91309135963239 8.11306358813471 8.10326090588683 8.00913626612471 7.99392798062499 8.78675076022315 10.5169291607528
"ENSG00000167641" 7.98555330572442 6.8301859027917 7.24416385702928 7.62055993889437 7.82426573989561 9.12695233438219 11.4156794846449
"ENSG00000065809" 5.09204263262305 4.7500928848117 4.99733385039945 4.68437922095782 5.79913467041034 6.97916104300766 9.04864439721651
"ENSG00000184144" 7.1467920534908 7.09432748024821 7.22631655629796 7.41094555763937 7.42592315149799 8.3559132652653 10.2750342426655
"ENSG00000179403" 7.10403180334214 6.05610910402716 5.81177301286747 5.65604813895256 6.43428859925005 7.21387164978978 9.1669030691902
"ENSG00000130150" 3.21366236369226 4.5766511254384 4.15179358277027 4.01858846835824 4.74252352146543 5.06940293448208 6.58849941893659
"ENSG00000100842" 5.40548628379087 5.04469953162991 3.95777565249877 4.32260298530431 4.21713369954908 5.84752509952996 7.86503342856496
"ENSG00000066468" 7.05996536295845 6.64485483154311 6.66218264162122 6.91598638384038 7.02764631403296 7.7503559319586 9.75102868362583
"ENSG00000126803" 6.457935220164 5.72303521939685 5.82131578399524 6.03632348527496 6.47563205384176 7.9284483882015 10.1967113566053
"ENSG00000080822" 7.78359537352364 7.15729869444278 7.83068341103285 8.14128206317717 8.36234262236768 9.55456273290415 11.4868218208105
"ENSG00000180739" 3.21366236369226 3.10780688141094 3.4185051212655 4.17858895480363 4.70824630906326 5.51030054914858 7.89420334429073
"ENSG00000125144" 9.46055254741771 8.24212686535324 7.49730092075891 7.27589915104612 7.12829766741123 7.73882199018916 7.75802756695859
"ENSG00000026025" 9.90236981904888 8.5543547285971 8.14565748077931 7.32803406250725 7.86761790812787 8.0914938606239 8.37479545072494
"ENSG00000164434" 8.41090946613187 7.24688384103757 7.0629683192362 6.30265479570523 6.43428859925005 6.19006946341789 6.2703142833326
"ENSG00000259527" 4.43912872440513 1.33579320173758 0.457102687227774 0 0 0 0
"ENSG00000198417" 8.03191517420367 7.01153976953645 6.44481072730298 6.19447244302592 6.09280709448743 6.69870254692393 7.22694862992799
"ENSG00000101335" 8.83363781509999 6.32652648381705 5.99157624948506 6.15653061263053 6.30263559951188 5.56357553971113 5.45470361970923
"ENSG00000117525" 7.30618467948384 6.90548440627355 6.41990197191428 6.46667683245693 6.56453802515945 6.77973091153412 6.41821749565971
"ENSG00000179604" 7.8367965200905 7.14181169154705 6.69888340829863 6.33698500011649 6.53550722838217 6.7570405777313 6.55235788339318
"ENSG00000018625" 9.85802280904197 9.33814871908901 9.24500826669713 9.19127466576007 9.23481769051001 9.31539747818202 8.95830848958162
"ENSG00000125398" 7.41514200818714 6.50659545568842 6.36875592612806 5.81062660786313 5.99667517560587 6.40963632083971 6.47723968674637
"ENSG00000105894" 9.46900215131434 8.82550021553835 8.68189747454788 8.47765708212492 8.50145063573287 8.52660713635464 8.92336116106283
"ENSG00000120885" 12.8742633665709 12.4336146832115 12.4210792749022 12.2712975989271 12.2253545683723 12.4927810402247 12.2372866488258
"ENSG00000163132" 5.53989214215466 4.26975930102769 3.25912017743519 2.26359683643679 2.25434023510543 3.38269413423661 4.04227590899807
"ENSG00000122786" 8.14169272414937 5.44876824423049 5.52690259098472 5.21403854023346 5.73247872227886 6.10278285411953 6.20197053508849
"ENSG00000133392" 6.86886405564855 3.54460847810707 2.94674554864879 1.5365183756912 1.17444062727231 2.40229977579263 1.75740353436194
"ENSG00000100427" 8.20376114039725 7.58133450868338 7.27574295579932 7.25809360289761 7.17296849079054 7.66151620002888 8.05136616722161
"ENSG00000187479" 7.30618467948384 5.10982559560865 5.5728219980311 5.35472197519935 5.57018906509906 5.33754548514978 5.63831330863458
"ENSG00000205364" 8.6964504732427 8.04808686744255 7.61719444391347 7.3947400750659 7.59021771375799 8.02182225582594 8.18719720678817
"ENSG00000189056" 7.88810538271248 6.7507398843703 5.04698269828751 4.88332937587897 4.35644876765883 3.87937703703169 3.68979734674738
"ENSG00000130287" 8.18336693954707 7.97130974181586 7.52676378879145 7.42697102768865 7.38853045866775 7.63687167858025 7.31586738972762
"ENSG00000101439" 13.0764943761915 12.4851497799394 12.3650906112604 12.282900991049 12.2979191331238 12.69563193385 12.5612167003938
"ENSG00000136802" 7.93765196202398 7.63762827886721 7.31680111602959 7.3617725708914 7.29346830337184 7.3640686739268 7.20383543466171
"ENSG00000152661" 9.30877695726924 8.56019191800741 8.32909057613618 8.09187868781939 8.4084398148631 8.58252407512114 8.5222175252177
"ENSG00000164707" 3.21366236369226 2.01731066261563 0.457102687227774 0 0 0 1.13122434280001
"ENSG00000120149" 4.13373215869195 1.33579320173758 0 1.5365183756912 0.703567425417881 1.83668005212675 1.75740353436194
"ENSG00000078549" 7.05996536295845 7.04522704871727 6.97592838413091 6.72180285889995 6.87378183475566 6.74556016691713 7.00425049708705
"ENSG00000105854" 8.07683344675567 7.34482029399063 7.0304264017916 6.84619427726242 7.21629759152512 7.40842492166 8.09598783983244
"ENSG00000123836" 7.01451041113545 5.49825484084193 5.53852018980676 5.81062660786313 6.09280709448743 6.04775801313607 6.87852503758404
"ENSG00000077942" 6.81685373221265 5.39752370483409 5.14143102388119 4.78728103100773 5.53150394076109 5.42650728633344 5.45470361970923
"ENSG00000135821" 11.1212226423059 10.5905007738764 10.6059274209503 10.5769108188279 10.5989336596057 10.7234215003392 11.0968662270064
"ENSG00000185432" 7.72835700477202 7.42377924222029 7.09872147019985 7.1463828416783 7.2524284222742 7.73302025500129 7.11989233644371
"ENSG00000107796" 8.26326899835968 5.39752370483409 4.61384247917971 4.78728103100773 4.84072392239944 4.43128661304904 5.41500121931095
"ENSG00000205336" 8.32041921990351 7.83350487187582 7.61170559201744 7.62055993889437 7.4364311528707 7.59909710829851 7.48837706855257
"ENSG00000173905" 6.81685373221265 6.08878310572273 6.15897970238778 6.4032877653071 5.96798986077048 6.72232158597004 6.75675776076772
"ENSG00000136205" 6.38836622276333 5.59240946290022 5.73306955462173 5.35472197519935 5.55097616425575 6.24001401032385 5.2888847885741
"ENSG00000163453" 9.25115430759236 8.49464587267732 8.39127951405412 8.24435810090498 8.37058518739567 8.63324287743857 8.58170154611283
"ENSG00000184113" 7.8367965200905 7.12615663353545 7.24061201603147 7.18458897660044 7.13476452314826 6.91910949103361 6.92166243685578
"ENSG00000111275" 8.95890515932961 8.45132886890507 8.39288040525848 8.19841614114457 8.32324212307923 8.57929415804952 8.46989543215211
"ENSG00000262920" 3.21366236369226 0 0 0 0 0 0
"ENSG00000114698" 5.53989214215466 3.34267610392821 4.15179358277027 4.68437922095782 4.16753636606863 4.18156438538367 5.05059004331188
"ENSG00000163346" 7.810441165093 6.92371059611993 6.80850188979661 6.86983544634079 6.69278790641818 7.12805665797108 7.43974448654302
"ENSG00000092820" 8.49605733008079 7.23233398307783 7.28611756030069 6.86983544634079 7.04147918256833 7.47944975374132 7.9646476675059
"ENSG00000187193" 8.32041921990351 7.79441991125535 7.8976169199036 7.60655662348066 7.64560787481558 7.90799635897266 8.83586295011842
"ENSG00000149596" 3.21366236369226 0 0 0 0 0 0
"ENSG00000068078" 8.09877879249804 7.46169516597714 7.28266764162135 6.98255743661279 7.34457445037615 7.52716532271033 7.65953426617173
"ENSG00000205358" 6.23827542177844 4.97649398900342 3.31422831050749 2.26359683643679 2.86498196379929 2.80756775812866 4.04227590899807
"ENSG00000119711" 8.22387105909226 7.3175102185688 7.13360996448598 7.25809360289761 7.19169767320544 7.27104258361162 8.09598783983244
"ENSG00000134250" 6.07073722693058 5.44876824423049 5.15658830412682 5.13819374891686 5.32079726619195 5.30662927534178 5.53097371541738
"ENSG00000149591" 8.59201482715642 5.63727843098311 5.37966438669075 5.48289743967477 5.66259329882853 5.51030054914858 6.67508015082771
"ENSG00000131477" 6.91906442592778 5.49825484084193 5.44284942979482 5.21403854023346 5.27469423856476 5.68874359614103 5.45470361970923
"ENSG00000165617" 5.09204263262305 6.12073346879583 4.08997535176174 3.39296018271481 3.19705512054682 4.24816275148517 3.39555151611233
"ENSG00000117400" 0 2.01731066261563 0.803693482778239 0 0.703567425417881 0 0
"ENSG00000168952" 6.81685373221265 7.87155882740938 6.78918081876848 6.5856655047219 6.47563205384176 6.24001401032385 6.62375764145738
"ENSG00000197555" 7.51644518804618 8.24212686535324 7.61445262831242 7.31086424487952 6.99247250466048 7.40112627284048 6.80363305710667
"ENSG00000111885" 6.23827542177844 6.73017546688705 5.62823928048462 4.68437922095782 4.96205312951713 4.48750306248666 3.93407734409397
"ENSG00000123064" 6.58775197976514 7.18778270159343 6.70920011401984 6.26748771915488 6.46540673221403 6.54824182664153 6.60623623758525
"ENSG00000162545" 11.604164809666 12.1240206140094 11.5359869101921 11.0643747891153 10.9587609067631 11.0783036673625 10.9396120398617
"ENSG00000135919" 8.94685668969044 9.49569370732692 8.87753786826127 7.76624188466807 7.93586269423077 8.44022684673989 7.56293226851543
"ENSG00000075891" 0 2.01731066261563 1.31679947404873 0 0.703567425417881 0 1.13122434280001
"ENSG00000141404" 7.10403180334214 7.80429086841947 6.77451828996366 5.90518264319003 5.87834431141646 6.3653178801669 5.15067829258837
"ENSG00000115756" 9.11780082285004 10.3789192323829 9.27483370561341 7.63442863868788 7.800058271585 8.80345633176323 8.17536401288209
"ENSG00000065150" 7.69992390828757 8.28505543847154 7.90436709290854 7.89855288033122 7.57127144587373 7.52716532271033 7.31586738972762
"ENSG00000144119" 6.07073722693058 7.54647278632225 5.87728367977243 4.68437922095782 4.90266360835715 4.59376253591868 4.6327864862569
"ENSG00000100884" 7.51644518804618 8.06460745561723 7.51798793363031 7.06679429246519 6.96370266570972 6.83494290135892 6.58849941893659
"ENSG00000169085" 7.91309135963239 8.82550021553835 8.44009927688413 8.03027099859794 8.28886271800258 8.4223123480087 8.2335826494872
"ENSG00000133641" 5.97905801339119 6.81073077000215 6.02499617999374 5.99392071998122 5.87834431141646 5.93098157301931 5.60341334152853
"ENSG00000156011" 8.35729916615974 9.27920634932554 8.80243447282003 8.56714317504682 8.6306068925363 8.6301246579243 8.30591612160505
"ENSG00000113231" 7.01451041113545 7.42377924222029 6.43862374048258 6.43533041911383 5.89367742809381 6.63790573597589 6.41821749565971
"ENSG00000125869" 7.26795688304522 8.05637080896877 6.80369582608033 6.30265479570523 5.60786389921616 5.53718394388289 4.82681525600245
"ENSG00000120049" 7.01451041113545 7.76439522874979 6.66218264162122 6.49735661959566 6.13212322484939 6.43844322664634 5.53097371541738
"ENSG00000100095" 8.30161957484723 8.87317235162708 8.21968820670899 7.80354666255566 8.20837605966219 8.44022684673989 7.51678867671633
"ENSG00000120251" 8.97085384062163 9.86221387202581 9.3509302574506 9.00633356964917 8.9767686126861 9.06132967467 8.30591612160505
"ENSG00000122644" 5.97905801339119 6.79100968901679 6.14384765801647 5.85867915199778 5.47145887904691 5.78160350495414 5.67238891972743
"ENSG00000198171" 7.78359537352364 8.43235875434603 7.9288509775456 7.3450019395006 7.45722029790543 7.58628254889679 7.58992622390736
"ENSG00000230051" 2.36135090886481 4.82957357618409 3.46794689826863 2.26359683643679 1.81315813492708 2.61911771939608 1.13122434280001
"ENSG00000179388" 7.18832132397594 8.27088737193276 7.62810989381682 7.04619168213353 6.86602918502607 7.0740055012696 5.37417523084447
"ENSG00000105376" 7.54869155494371 8.00593827918309 7.50915836841705 7.32803406250725 7.03457932729981 7.27104258361162 6.37748371698774
"ENSG00000153956" 6.58775197976514 7.64862816339966 7.09479237279719 6.55682567246194 6.82662843522369 7.0922484866763 6.4381610619317
"ENSG00000100354" 6.31527178003647 6.90548440627355 6.35568099081013 6.26748771915488 6.24402476678049 6.40963632083971 5.73821668529133
"ENSG00000169851" 7.91309135963239 8.70421777360148 7.8068635427334 7.3947400750659 8.09687648167286 7.76179839397369 6.49638908690566
"ENSG00000129911" 6.91906442592778 7.28967317459922 6.65686262094989 6.19447244302592 6.32542908085275 6.72232158597004 6.17845037718269
"ENSG00000139220" 8.75290024080351 9.31761939158525 8.77813961126358 8.53052942713785 8.43750123764228 8.60175318046207 8.13927069670954
"ENSG00000180305" 0 2.47830572678087 1.31679947404873 0 1.17444062727231 0 0
"ENSG00000134138" 5.25726021564623 6.24189677997561 5.58407706013654 4.45353693609818 4.84072392239944 6.12066777694881 5.56764814189872
"ENSG00000140090" 5.40548628379087 6.18258672329869 5.25845160788488 4.57357022884811 3.82772371604215 4.78534141574832 3.68979734674738
"ENSG00000250067" 8.75290024080351 9.24699849132392 8.80484160788227 8.37400845700851 8.42963327456777 8.44733082049014 7.49790990906948
"ENSG00000224116" 3.21366236369226 4.37947186850289 2.94674554864879 3.10496447509725 2.59173065029764 3.12360222927659 0
"ENSG00000214381" 0 2.8271216675268 1.31679947404873 0 0.703567425417881 0 1.13122434280001
"ENSG00000181195" 5.662836545987 6.97704703926583 5.35359461267447 3.39296018271481 2.86498196379929 3.4966521317715 3.39555151611233
"ENSG00000169181" 5.662836545987 6.38030832528862 5.39252471858835 4.57357022884811 5.15254736327805 5.99055100389175 5.24427102718521
"ENSG00000133401" 7.05996536295845 7.21763589075069 6.35568099081013 5.21403854023346 5.76619162006126 6.35023727523325 5.49334262457106
"ENSG00000128512" 7.75624054604001 7.73373238215308 7.45501514479747 7.20331920072319 6.76959459818173 7.18015568340528 7.23836783466101
"ENSG00000137825" 7.86267903673642 8.90103737393288 8.13994897314803 7.20331920072319 7.38310864200074 7.91825861496045 5.7056782213215
"ENSG00000111907" 6.457935220164 7.04522704871727 6.21072586961947 5.76091824480267 5.86284648057383 6.02893993565028 6.05472921159686
"ENSG00000174640" 5.25726021564623 5.84280947544178 4.18173694132495 3.83860397700947 3.19705512054682 3.96106176346306 2.52651511150797
"ENSG00000064218" 2.36135090886481 3.87943915793292 1.85178900025299 1.5365183756912 1.17444062727231 0 0
"ENSG00000005882" 7.61109938610716 8.18282646394517 7.88629596890788 7.50453222711334 7.69019532545556 7.78441460383887 7.2941461904096
"ENSG00000186642" 8.18336693954707 8.78120546938828 8.46466467804994 8.18904954344305 8.21143851577951 8.19218792161999 7.39962246743701
"ENSG00000272733" 2.36135090886481 2.8271216675268 2.1226857209443 0 1.17444062727231 0.893199404023387 1.13122434280001
"ENSG00000132600" 6.70684579065622 7.26128842477093 6.35568099081013 6.23144194772865 6.65729350351811 7.0922484866763 6.51528763631785
"ENSG00000164326" 7.30618467948384 7.94478173035333 8.10716703838571 6.46667683245693 5.74943364430418 5.53718394388289 4.94303698891712
"ENSG00000007516" 8.12039531540155 7.75424651953727 8.3605201093758 7.91000053368534 7.22238258439634 7.69174138907167 7.36878130112097
"ENSG00000141433" 5.77612157719996 6.64485483154311 6.86495945749907 5.99392071998122 4.90266360835715 6.04775801313607 3.93407734409397
"ENSG00000233123" 6.23827542177844 7.15729869444278 7.0467891118813 6.03632348527496 5.58914945970621 5.20969496092313 4.6327864862569
"ENSG00000070729" 0 1.33579320173758 2.45243351524483 1.5365183756912 1.52886146736678 0.893199404023387 0
"ENSG00000159674" 5.662836545987 5.8806219712771 5.830795848583 4.97338043734294 4.74252352146543 4.31182195278139 4.32532370273469
"ENSG00000183090" 4.13373215869195 5.84280947544178 5.52690259098472 3.63292134018501 3.4668134829855 2.80756775812866 2.52651511150797
"ENSG00000154975" 7.51644518804618 7.91775677470551 8.21968820670899 7.97684205444906 7.1412025206241 7.37900613134318 6.31414191147493
"ENSG00000112335" 9.41754587543744 9.49569370732692 9.79113813372465 9.43658795407974 9.42094054140042 9.40021244257973 9.15791129842789
"ENSG00000162981" 7.26795688304522 8.0890389507326 8.13804110673989 7.45849762249808 7.06875326998238 7.1012841958894 6.02865885135725
"ENSG00000223930" 0 2.01731066261563 1.51798650537847 1.5365183756912 0 0 0
"ENSG00000104327" 6.38836622276333 7.33122987744554 7.44887185811902 6.07751547734709 5.34330781855621 5.30662927534178 5.05059004331188
"ENSG00000115290" 2.36135090886481 3.54460847810707 4.54639619365786 3.10496447509725 3.38237693952497 1.83668005212675 1.75740353436194
"ENSG00000069122" 5.25726021564623 5.04469953162991 5.91342465198161 5.28609441001098 4.80872743824496 4.48750306248666 3.93407734409397
"ENSG00000187664" 8.07683344675567 7.93582954294232 8.29525005203807 8.15096292360097 7.43118671916191 6.94944769692482 5.49334262457106
"ENSG00000165621" 0 2.01731066261563 2.24117553304778 2.26359683643679 1.81315813492708 0 0
"ENSG00000171476" 9.61319816826722 10.1923138820048 9.96908834524361 9.30836548676453 8.57224607992234 8.71792413901436 7.61642436412024
"ENSG00000152578" 8.18336693954707 8.37390422056225 8.28494114748491 7.63442863868788 7.42064030974967 7.0740055012696 6.7725526929959
"ENSG00000248673" 3.21366236369226 2.01731066261563 1.85178900025299 0 0.703567425417881 0 0
"ENSG00000185352" 7.61109938610716 8.24212686535324 7.74302602999847 7.27589915104612 6.65729350351811 6.52156560802507 5.24427102718521
"ENSG00000226091" 5.09204263262305 4.97649398900342 5.32704507007451 4.68437922095782 4.00761194009693 4.24816275148517 3.39555151611233
"ENSG00000113319" 7.96180143137415 8.38710033130335 7.85179013348876 6.89309544977758 6.33669218379439 6.82406824767684 6.75675776076772
"ENSG00000231689" 0 2.01731066261563 1.69452045800458 2.26359683643679 0.703567425417881 0 0
"ENSG00000164983" 6.76289804400529 7.3175102185688 7.22272044811041 6.43533041911383 6.58357234457853 6.40963632083971 5.97506076836364
"ENSG00000134757" 0 2.01731066261563 2.24117553304778 0 0 0 1.13122434280001
"ENSG00000170419" 8.12039531540155 8.33357583657663 8.32741727013757 8.14128206317717 7.35014275150774 6.69870254692393 6.10549780301384
"ENSG00000271797" 0 0 0.457102687227774 0 0.703567425417881 0.893199404023387 0
"ENSG00000165828" 4.13373215869195 4.26975930102769 3.69254196202018 3.39296018271481 2.25434023510543 1.83668005212675 2.19261605404107
"ENSG00000117643" 6.86886405564855 6.70931367683586 6.96305408688738 6.79771699310667 5.99667517560587 5.80391373595198 5.56764814189872
"ENSG00000254664" 4.13373215869195 5.04469953162991 4.59170889070182 3.83860397700947 2.05054829298112 1.44072942100881 1.13122434280001
"ENSG00000149654" 6.76289804400529 7.3036588355994 7.06698492874369 6.72180285889995 6.31407735466679 5.61495308277625 5.10150195783643
"ENSG00000163827" 4.13373215869195 4.97649398900342 4.75994141533757 4.45353693609818 3.89021209676281 2.40229977579263 1.13122434280001
"ENSG00000003249" 7.93765196202398 7.96252115922235 8.08357001147984 7.88701366386432 7.7248989586779 7.50690872226894 6.22511338842727
"ENSG00000237505" 0 1.33579320173758 1.85178900025299 0 1.17444062727231 0 0
"ENSG00000236948" 2.36135090886481 1.33579320173758 1.31679947404873 0 1.52886146736678 1.44072942100881 1.13122434280001
"ENSG00000162631" 4.90542746730253 5.44876824423049 6.46321406608744 5.85867915199778 5.45087536536461 4.43128661304904 3.93407734409397
"ENSG00000219438" 8.09877879249804 8.04808686744255 8.10911614579915 7.94380836385924 7.39931334476988 7.18865883227308 7.49790990906948
"ENSG00000231013" 3.74583309233021 2.01731066261563 3.25912017743519 1.5365183756912 1.52886146736678 0 1.75740353436194
"ENSG00000171475" 7.37972939995475 7.33122987744554 7.2299037229935 7.3947400750659 6.78612134508806 6.7909436412312 6.37748371698774
"ENSG00000275830" 2.36135090886481 4.26975930102769 4.21107143648655 3.39296018271481 2.25434023510543 2.40229977579263 1.75740353436194
"ENSG00000111249" 7.44970615804913 7.33122987744554 7.19729353255701 6.43533041911383 4.80872743824496 4.43128661304904 3.68979734674738
"ENSG00000127445" 9.7854577886169 10.0911202200845 10.2627662038019 10.1325667298287 10.025788545432 9.70143068072175 9.10587142529783
"ENSG00000105251" 4.90542746730253 4.66597684752157 5.40527142429521 5.35472197519935 4.74252352146543 4.03836832154548 3.68979734674738
"ENSG00000162951" 6.52430325604576 6.66666268243378 6.75970521021697 6.11756392605241 5.89367742809381 5.51030054914858 4.32532370273469
"ENSG00000256713" 0 1.33579320173758 1.08293853470791 0 0 0 0
"ENSG00000113966" 5.77612157719996 6.27066182830553 6.43862374048258 6.11756392605241 6.0523894375184 6.00987315325266 4.48723033255663
"ENSG00000127588" 4.43912872440513 4.26975930102769 5.63907179581311 5.13819374891686 5.04679070466516 4.37279048746455 2.19261605404107
"ENSG00000188674" 6.91906442592778 7.56980728277628 7.53258484119953 7.08710682198917 6.97094909027668 6.69870254692393 5.2888847885741
"ENSG00000184224" 0 0 0.803693482778239 0 0 0 0
"ENSG00000136842" 7.01451041113545 7.38483988030579 7.01803141822409 6.52739754462609 5.73247872227886 5.53718394388289 4.99781554542711
"ENSG00000139190" 7.18832132397594 6.77101528801901 7.7329492364826 8.68510665949085 7.69019532545556 6.69870254692393 6.24789085157644
"ENSG00000138472" 2.36135090886481 0 1.08293853470791 2.74476548981581 2.25434023510543 0.893199404023387 0
"ENSG00000100285" 7.67091915800885 7.06178023038146 8.41510833350592 9.5285773674722 8.32324212307923 6.99863531390118 5.8907344056902
"ENSG00000234919" 3.21366236369226 2.01731066261563 2.54749123983543 3.39296018271481 2.25434023510543 1.83668005212675 0
"ENSG00000105711" 8.62263291280655 8.49464587267732 9.22986109180599 9.82916349499514 9.25276577770818 8.89722883399752 7.16845615350131
"ENSG00000165553" 6.76289804400529 5.76407481276972 6.60807845595605 7.00408222673603 5.66259329882853 5.27503601173072 4.48723033255663
"ENSG00000100362" 7.48346155683643 6.66666268243378 7.86338402058042 8.77549584029786 8.21143851577951 7.32603404840763 5.60341334152853
"ENSG00000146242" 6.23827542177844 6.99439648579327 7.02217492313941 7.3450019395006 6.2677555907193 5.30662927534178 4.88609614106283
"ENSG00000148942" 0 0 0.457102687227774 1.5365183756912 0.703567425417881 0 0
"ENSG00000104722" 9.04053944425457 8.89643041837384 10.0448670639807 10.566097665782 9.76424791467323 9.05669202104405 7.63382321045952
"ENSG00000114805" 3.21366236369226 5.04469953162991 5.32704507007451 6.96070662964071 5.84718035825804 4.59376253591868 3.81710142787482
"ENSG00000118194" 5.53989214215466 5.04469953162991 6.16648661928249 6.23144194772865 5.42999392256493 4.73977854943135 3.68979734674738
"ENSG00000005022" 8.52875746858827 8.5128194245312 8.84983023503004 9.07912679009187 8.92547331413006 8.55647997058504 8.42562846176103
"ENSG00000198963" 6.38836622276333 5.91746867495774 6.83229494494391 7.99845164961094 7.59959835246218 5.84752509952996 4.6327864862569
"ENSG00000196090" 5.88115510947839 6.15199155314708 6.77942237594212 7.32803406250725 7.10872133414623 6.04775801313607 5.49334262457106
